,0,1
0,263890_112835,wallis/
1,271485_109870,ticino/
2,257370_125195,jura/
3,262840_112845,wallis/
4,264310_113010,wallis/
5,271495_110380,ticino/
6,264070_112915,wallis/
7,262145_112850,wallis/
8,268830_117000,goesch/
9,249900_111480,genf/
10,263495_112700,wallis/
11,261690_112855,wallis/
12,257505_125200,jura/
13,262155_112860,wallis/
14,269085_117650,goesch/
15,269125_117680,goesch/
16,262525_112855,wallis/
17,268850_117370,goesch/
18,263790_112760,wallis/
19,271555_109745,ticino/
20,262780_112840,wallis/
21,257375_125200,jura/
22,269165_117750,goesch/
23,257065_125680,jura/
24,249675_111990,genf/
25,264215_113005,wallis/
26,249165_111895,genf/
27,263935_112860,wallis/
28,264315_113000,wallis/
29,268835_117280,goesch/
30,257240_125370,jura/
31,256950_125850,jura/
32,271525_109915,ticino/
33,269055_117610,goesch/
34,257070_125765,jura/
35,268855_116910,goesch/
36,257655_124950,jura/
37,269120_117695,goesch/
38,257625_125115,jura/
39,261960_112850,wallis/
40,268865_117295,goesch/
41,248810_111500,genf/
42,263395_112610,wallis/
43,263880_112815,wallis/
44,263835_112785,wallis/
45,271540_110730,ticino/
46,257310_125250,jura/
47,271590_110275,ticino/
48,264355_113030,wallis/
49,257575_125190,jura/
50,271540_110030,ticino/
51,271580_109755,ticino/
52,268815_116945,goesch/
53,268860_117350,goesch/
54,261595_112875,wallis/
55,264235_113010,wallis/
56,268800_116885,goesch/
57,269260_117940,goesch/
58,263495_112725,wallis/
59,263145_112840,wallis/
60,269255_117950,goesch/
61,248885_111520,genf/
62,249080_111705,genf/
63,257600_125195,jura/
64,268820_116985,goesch/
65,271460_109850,ticino/
66,257310_125245,jura/
67,261700_112860,wallis/
68,269265_117945,goesch/
69,248865_111500,genf/
70,268845_117300,goesch/
71,269190_117765,goesch/
72,271530_110865,ticino/
73,249880_111605,genf/
74,268830_117245,goesch/
75,249710_112045,genf/
76,271465_110975,ticino/
77,269140_117715,goesch/
78,261755_112835,wallis/
79,249915_111565,genf/
80,249330_111980,genf/
81,257135_125565,jura/
82,263470_112715,wallis/
83,262480_112850,wallis/
84,264420_113120,wallis/
85,263880_112840,wallis/
86,263525_112720,wallis/
87,262255_112840,wallis/
88,257065_125760,jura/
89,261670_112860,wallis/
90,271565_109925,ticino/
91,271465_109820,ticino/
92,271550_110685,ticino/
93,257545_125185,jura/
94,261560_112905,wallis/
95,249620_111980,genf/
96,271445_109760,ticino/
97,257130_125485,jura/
98,264210_112995,wallis/
99,271555_110755,ticino/
100,249520_111990,genf/
101,249905_111540,genf/
102,261890_112835,wallis/
103,249440_111985,genf/
104,263335_112735,wallis/
105,269005_117490,goesch/
106,256910_125885,jura/
107,271540_110710,ticino/
108,268915_117370,goesch/
109,269040_117570,goesch/
110,257595_124980,jura/
111,271500_110015,ticino/
112,261745_112835,wallis/
113,261595_112895,wallis/
114,271615_110315,ticino/
115,249835_111810,genf/
116,249935_111525,genf/
117,263240_112775,wallis/
118,262605_112835,wallis/
119,262725_112830,wallis/
120,269100_117670,goesch/
121,257355_125180,jura/
122,257505_125205,jura/
123,262265_112835,wallis/
124,263555_112720,wallis/
125,262225_112840,wallis/
126,256785_126155,jura/
127,257530_125195,jura/
128,263525_112725,wallis/
129,249855_111585,genf/
130,249820_111725,genf/
131,271565_110235,ticino/
132,271580_110255,ticino/
133,257525_125190,jura/
134,263835_112795,wallis/
135,256770_126165,jura/
136,262525_112845,wallis/
137,271570_109765,ticino/
138,268800_116905,goesch/
139,249165_111870,genf/
140,269005_117545,goesch/
141,257120_125490,jura/
142,249825_111815,genf/
143,257065_125690,jura/
144,257565_125190,jura/
145,268985_117505,goesch/
146,271600_110290,ticino/
147,248955_111520,genf/
148,263005_112855,wallis/
149,271550_110665,ticino/
150,249440_111970,genf/
151,249905_111500,genf/
152,264430_113110,wallis/
153,249855_111470,genf/
154,261915_112845,wallis/
155,249045_111645,genf/
156,261565_112915,wallis/
157,263650_112740,wallis/
158,257285_125350,jura/
159,268855_117295,goesch/
160,271580_110345,ticino/
161,271535_110360,ticino/
162,262670_112825,wallis/
163,263695_112735,wallis/
164,249345_111950,genf/
165,249910_111565,genf/
166,249690_112040,genf/
167,257520_125195,jura/
168,249930_111560,genf/
169,271525_110585,ticino/
170,249145_111775,genf/
171,271470_110500,ticino/
172,256770_126180,jura/
173,249890_111575,genf/
174,264340_113030,wallis/
175,249015_111605,genf/
176,249935_111505,genf/
177,249540_111975,genf/
178,261810_112815,wallis/
179,257115_125570,jura/
180,249200_111900,genf/
181,261995_112850,wallis/
182,249595_111990,genf/
183,262290_112830,wallis/
184,264075_112920,wallis/
185,256985_125805,jura/
186,271570_109925,ticino/
187,249040_111620,genf/
188,257310_125240,jura/
189,257650_124940,jura/
190,261815_112815,wallis/
191,249855_111460,genf/
192,264335_113055,wallis/
193,262100_112860,wallis/
194,249880_111615,genf/
195,257570_125195,jura/
196,248860_111505,genf/
197,263400_112645,wallis/
198,249840_111780,genf/
